"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",46.1925424156018,95.5373708583396,200,-142.19723839587,234.582323227074,0.483502340503958,0.629268016476642
"blue - yellow","A","1",12.2517270979745,111.545703249574,200,-207.704823902448,232.208278098397,0.109835939359873,0.912649618422845
"green - yellow","A","1",-33.9408153176273,111.387344557259,200,-253.585099410695,185.703468775441,-0.304709798519165,0.760904027111904
"blue - green","B","1",83.7351226352768,111.961941127331,200,-137.042206264429,304.512451534983,0.747889164765796,0.455405499465117
"blue - yellow","B","1",303.247532093222,146.073044306728,200,15.2066476500769,591.288416536368,2.07599926141373,0.0391726072023369
"green - yellow","B","1",219.512409457946,182.13707045668,200,-139.642991959325,578.667810875216,1.20520445896902,0.22954843977689
"blue - green","A","2",-106.414673661971,83.9146534457673,200,-271.885661899228,59.0563145752857,-1.26812981156795,0.206225815626558
"blue - yellow","A","2",-65.921906631698,95.4690998100522,200,-254.177064020869,122.333250757473,-0.690505166204122,0.490677122407845
"green - yellow","A","2",40.4927670302729,82.4653031819116,200,-122.120252894964,203.10578695551,0.491027928933326,0.623945057245834
"blue - green","B","2",97.5737738928991,136.708949451606,200,-172.002087267681,367.14963505348,0.713733623762792,0.476223977196019
"blue - yellow","B","2",184.557382401179,77.154506784404,200,32.416701836676,336.698062965682,2.39204927998432,0.017680581123655
"green - yellow","B","2",86.98360850828,102.466215786729,200,-115.069135451628,289.036352468188,0.848900370140788,0.396951651398527
"blue - green","A - B","1",-37.542580219675,147.183016528391,200,-327.772214695055,252.687054255706,-0.255074132227975,0.798927948908021
"blue - yellow","A - B","1",-290.995804995248,184.539213105799,200,-654.887982430946,72.8963724404502,-1.57687789005806,0.116404025482106
"green - yellow","A - B","1",-253.453224775573,214.712765623471,200,-676.844516474488,169.938066923342,-1.18042923083595,0.23923153999293
"blue - green","A - B","2",-203.98844755487,159.891850162833,200,-519.278583080798,111.301687971058,-1.2757901503243,0.203509432528695
"blue - yellow","A - B","2",-250.479289032877,120.310871223814,200,-487.719841661221,-13.2387364045334,-2.08193396394671,0.0386210122456404
"green - yellow","A - B","2",-46.4908414780071,134.799744480416,200,-312.301948565755,219.32026560974,-0.344888201807842,0.730540838137186
"blue - green","A","1 - 2",152.607216077573,114.474736710532,200,-73.125084943411,378.339517098556,1.33310825132942,0.184012808659947
"blue - yellow","A","1 - 2",78.1736337296725,121.457188755966,200,-161.327338111408,317.674605570754,0.643631180092107,0.520551973624069
"green - yellow","A","1 - 2",-74.4335823479002,160.002380772739,200,-389.941672766099,241.074508070299,-0.46520296753348,0.642292233156891
"blue - green","B","1 - 2",-13.8386512576223,142.277804632824,200,-294.395716920011,266.718414404766,-0.0972650041468917,0.922613348580688
"blue - yellow","B","1 - 2",118.690149692043,150.432051181852,200,-177.946243946953,415.326543331039,0.788995089540879,0.431049168692853
"green - yellow","B","1 - 2",132.528800949666,215.267535450242,200,-291.956439275644,557.014041174975,0.615646946821199,0.538827516597853
"blue - green","A - B","1 - 2",166.445867335195,179.794700120124,200,-188.090622861068,520.982357531458,0.925755137520683,0.355688950348432
"blue - yellow","A - B","1 - 2",-40.5165159623707,191.018078737705,200,-417.184344071057,336.151312146315,-0.212108279122656,0.832238568040914
"green - yellow","A - B","1 - 2",-206.962383297566,268.034807254602,200,-735.499207525359,321.574440930227,-0.772147414051993,0.440938566501961
