PID,Group,day,BlockNumber,sequence,condition,nTrials,errorRate,meanRT_hit_ms,medianRT_hit_ms,sdRT_hit_ms,nHits
1,A,1,1,blue,structured,8,0.25,1337.226,1508.2530000000002,827.1559961357552,4.0
1,A,1,2,yellow,random,8,0.5,1472.1866666666663,1315.2399999999993,406.572385355097,3.0
1,A,1,3,green,structured,8,0.0,1375.8919999999996,1316.0089999999993,350.2227486193606,5.0
1,A,1,4,yellow,random,8,0.0,1349.425857142857,1433.3799999999997,284.64421087352054,7.0
1,A,1,5,green,structured,8,0.0,1185.351,1233.307999999999,381.9730357826324,7.0
1,A,1,6,blue,structured,8,0.0,1266.4408571428573,1217.7120000000007,171.4167911985563,7.0
1,A,1,7,blue,structured,8,0.0,1238.505833333333,1057.9049999999984,609.5240795953565,6.0
1,A,1,8,yellow,random,8,0.0,1366.3585714285714,1417.6900000000003,483.08479129543343,7.0
1,A,1,9,yellow,random,8,0.125,1306.3362,1350.0060000000005,301.8657219745235,5.0
1,A,1,10,green,structured,8,0.0,1011.6139999999999,999.8779999999998,227.53351752873624,7.0
1,A,1,11,yellow,random,8,0.125,1479.7059999999997,1531.489999999998,179.6602473962998,5.0
1,A,1,12,blue,structured,8,0.0,1599.9298333333334,1540.466499999999,175.8759476817876,6.0
1,A,1,13,blue,structured,8,0.0,1668.4141428571427,1466.2190000000005,390.8198683879948,7.0
1,A,1,14,blue,structured,8,0.0,1768.4854285714282,1883.6650000000006,352.76847690511164,7.0
1,A,1,15,green,structured,8,0.0,1228.4025714285715,1233.5199999999986,233.06613273193324,7.0
1,A,1,16,green,structured,8,0.125,1136.0726000000004,1049.2560000000005,196.7846385132743,5.0
1,A,1,17,blue,structured,8,0.0,1613.908714285714,1516.1130000000007,366.29885581844934,7.0
1,A,1,18,yellow,random,8,0.25,1699.64575,1682.678,506.45339478006264,4.0
1,A,1,19,blue,structured,8,0.0,1576.4508571428573,1449.4609999999993,450.01827834523476,7.0
1,A,1,20,blue,structured,8,0.125,1419.8244000000002,1432.4339999999997,524.4853206628376,5.0
1,A,1,21,blue,structured,8,0.125,1576.0754,1549.805,226.19419289031302,5.0
1,A,1,22,yellow,random,8,0.0,1413.9321428571427,1432.3739999999993,165.3085183814684,7.0
1,A,1,23,blue,structured,8,0.0,1733.9960000000003,1753.9100000000012,147.07682187210912,5.0
1,A,1,24,green,structured,8,0.0,1497.3581428571429,1500.8599999999994,545.2866353324123,7.0
1,A,1,25,blue,structured,8,0.25,1328.3825000000002,1165.5550000000012,394.45507529375163,4.0
1,A,1,26,yellow,random,8,0.0,1444.7022857142854,1449.5239999999994,220.99642949959883,7.0
1,A,1,27,blue,structured,8,0.0,1525.7651428571428,1449.4619999999986,309.5785149841795,7.0
1,A,1,28,yellow,random,8,0.0,1682.7190000000003,1615.145000000001,489.56086754845876,6.0
1,A,1,29,blue,structured,8,0.0,1574.3516666666667,1491.1815000000001,345.4037596382912,6.0
1,A,1,30,green,structured,8,0.0,1307.3313333333338,1249.6930000000002,203.14551876294615,6.0
1,A,1,31,green,structured,8,0.0,1144.612666666667,1200.0100000000007,151.57320534535995,6.0
1,A,1,32,green,structured,8,0.0,1488.2706666666666,1499.8750000000005,391.7631757547748,6.0
1,A,1,33,blue,structured,8,0.0,1475.7257142857145,1516.42,468.18007760038716,7.0
1,A,1,34,blue,structured,8,0.0,1543.9751666666664,1391.2384999999995,348.27033731135754,6.0
1,A,1,35,green,structured,8,0.0,1422.9565714285716,1313.3550000000005,284.92127274731916,7.0
1,A,1,36,blue,structured,8,0.0,1618.5557142857142,1666.129999999999,230.62865808171284,7.0
1,A,1,37,green,structured,8,0.0,822.2648333333333,791.9590000000003,84.11978046670522,6.0
1,A,1,38,yellow,random,8,0.0,1115.6287499999992,1181.8214999999996,316.5577370542651,4.0
1,A,1,39,yellow,random,8,0.0,1430.445857142857,1366.9399999999996,175.68495150925557,7.0
1,A,1,40,blue,structured,8,0.125,1116.732,1150.2684999999997,106.45263082704923,4.0
