"SeqKind","Group","day","emmean","SE","df","n","lower.CL","upper.CL"
"blue","A","1",11791.821843146,626.622402847442,178,17,10555.2571690303,13028.3865172617
"green","A","1",12267.585376369,611.485077314425,178,17,11060.8924111639,13474.278341574
"yellow","A","1",12551.6691845897,723.968489829691,178,17,11123.0036028482,13980.3347663311
"blue","B","1",13425.8649736899,990.064887680022,178,14,11472.0898459189,15379.6401014609
"green","B","1",13281.8853985039,817.411258104829,178,14,11668.8216436752,14894.9491533326
"yellow","B","1",13102.9241350463,807.971341280453,178,14,11508.4889316683,14697.3593384244
"blue","A","2",11076.4574371955,582.458729158477,178,20,9927.0445127057,12225.8703616852
"green","A","2",11386.8983642718,559.597528336156,178,20,10282.5992965741,12491.1974319696
"yellow","A","2",11938.3463139792,586.077080293505,178,20,10781.7930045115,13094.8996234469
"blue","B","2",12594.8877726606,971.56395392033,178,13,10677.6220339913,14512.1535113299
"green","B","2",12539.1865066066,870.916244317774,178,13,10820.5370345432,14257.83597867
"yellow","B","2",12946.9266478656,870.217653859748,178,13,11229.655760861,14664.1975348703
