"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",-475.76353322296,311.60101064341,178,-1090.67101247916,139.143946033244,-1.52683565512377,0.128576830987941
"blue - yellow","A","1",-759.847341443659,403.81522544803,178,-1556.72858984784,37.0339069605167,-1.88167085726056,0.0615130651406335
"green - yellow","A","1",-284.0838082207,448.330141923713,178,-1168.80994205334,600.642325611937,-0.633648692460742,0.527123480700065
"blue - green","B","1",143.979575185961,416.514244784566,178,-677.961675280247,965.920825652169,0.345677433578369,0.72999334018853
"blue - yellow","B","1",322.940838643544,329.236047875749,178,-326.767286055803,972.648963342891,0.98087934394541,0.327983546649784
"green - yellow","B","1",178.961263457583,316.717885808399,178,-446.043759458301,803.966286373466,0.565049438243114,0.572751596102776
"blue - green","A","2",-310.440927076359,248.163878334315,178,-800.162781809451,179.280927656733,-1.25095130346951,0.212593984815899
"blue - yellow","A","2",-861.888876783765,218.027515676523,178,-1292.14020939759,-431.637544169936,-3.95311974320942,0.000111153349916115
"green - yellow","A","2",-551.447949707406,217.864610495157,178,-981.377808349681,-121.518091065131,-2.531149728513,0.0122348683965773
"blue - green","B","2",55.7012660539819,349.058636570184,178,-633.124376336529,744.526908444493,0.159575670727695,0.873396273030906
"blue - yellow","B","2",-352.038875205031,169.904864627979,178,-687.32588793336,-16.7518624767021,-2.07197643208068,0.0397094270239185
"green - yellow","B","2",-407.740141259013,324.312485761638,178,-1047.73220257879,232.251920060766,-1.25724466112197,0.210312162655416
"blue - green","A - B","1",-619.743108408921,520.172380987737,178,-1646.24134380106,406.755126983216,-1.19141871245088,0.235075433117869
"blue - yellow","A - B","1",-1082.7881800872,521.021219840886,178,-2110.9614978496,-54.6148623248037,-2.07820361024427,0.0391252721128471
"green - yellow","A - B","1",-463.045071678282,548.917239070043,178,-1546.26786065409,620.177717297526,-0.843560811576545,0.400047060941126
"blue - green","A - B","2",-366.142193130341,428.2840672663,178,-1211.30978634362,479.025400082933,-0.854905006080182,0.393752931489304
"blue - yellow","A - B","2",-509.850001578734,276.412120964925,178,-1055.31639845416,35.6163952966943,-1.84452837957649,0.0667680863178415
"green - yellow","A - B","2",-143.707808448393,390.69627196468,178,-914.700364770765,627.284747873979,-0.367824877687558,0.713440825292359
"blue - green","A","1 - 2",-165.3226061466,383.424774336007,178,-921.965728017422,591.320515724221,-0.431173510978513,0.666863931366513
"blue - yellow","A","1 - 2",102.041535340106,341.835245949568,178,-572.529606049159,776.61267672937,0.298510866123969,0.765661471363567
"green - yellow","A","1 - 2",267.364141486706,491.205047648162,178,-701.970511900889,1236.6987948743,0.544302512294647,0.586914504461829
"blue - green","B","1 - 2",88.2783091319794,355.287909818774,178,-612.840062036847,789.396680300806,0.248469780964425,0.804057381461555
"blue - yellow","B","1 - 2",674.979713848575,274.238876511785,178,133.801956043119,1216.15747165403,2.46128383558911,0.0147972373475086
"green - yellow","B","1 - 2",586.701404716596,346.20566454426,178,-96.494237202391,1269.89704663558,1.69466148247147,0.0918884207821754
"blue - green","A - B","1 - 2",-253.60091527858,522.727516434721,178,-1285.14140612945,777.939575572289,-0.485149350866916,0.628166959029272
"blue - yellow","A - B","1 - 2",-572.938178508469,438.244562731642,178,-1437.76162311353,291.885266096588,-1.30734805912311,0.192780721064493
"green - yellow","A - B","1 - 2",-319.337263229889,600.949882267703,178,-1505.24027587264,866.56574941286,-0.531387512757071,0.595812762038763
