scenario,n_participant_day,n_retention,long_session_excluded,seq_group_coef,seq_group_p,ret_group_coef,ret_group_p
baseline,73,34,,37.88909100309735,0.047582837575827736,37.89163361666453,0.4214645798637908
truncate_119,73,34,,38.95398622331669,0.04099930410193363,37.835356472649224,0.42259796392868376
truncate_120,73,34,,39.06875246442026,0.04038176635295527,37.849059685524246,0.4222937513978555
exclude_long_session,72,33,9_day1,39.19186722185355,0.04528148124790734,37.91418783364976,0.4266788745737211
