term,coef_rlm
Intercept,44.31489431223467
C(Group)[T.B],-8.206240917989497
AES_sum,5.151132756506422
Age,-0.935184538969744
Gender_num,23.301129282578458
Depression_num,12.237258517915352
SportsActivity_num,15.702342956660127
EQ5D_health_status,-0.7102934066945832
GDS_sum,-12.365259325304343
MoCa_sum,-3.499926444368753
MORE_sum,1.6457537377314615
TSS,-3.011691020429266
NIHSS,-2.1115818060225386
