contrast,Group,day,log_diff,se,ci_low,ci_high,ratio,pct_change
blue_minus_yellow,A,1,-0.03847133134566967,0.008813359041030934,-0.055745515066090295,-0.021197147625249043,0.9622592910233754,-0.037740708976624626
green_minus_yellow,A,1,-0.06673026678364383,0.010020595618279376,-0.0863706341954714,-0.04708989937181625,0.9354474885699477,-0.06455251143005225
blue_minus_yellow,A,2,-0.10022513437224881,0.008773195051732702,-0.1174205966736449,-0.08302967207085271,0.904633730961204,-0.09536626903879597
green_minus_yellow,A,2,-0.0837821535492752,0.0099877194887945,-0.10335808374731242,-0.06420622335123799,0.9196315727492943,-0.0803684272507057
blue_minus_yellow,B,1,-0.0729706252135329,0.008810110398809537,-0.09023844159519959,-0.05570280883186621,0.9296281372527444,-0.0703718627472556
green_minus_yellow,B,1,-0.08948713376242128,0.010023179939718765,-0.10913256644427005,-0.0698417010805725,0.9144000299366472,-0.08559997006335285
blue_minus_yellow,B,2,-0.07505663813366434,0.00932285021370371,-0.0933294245525236,-0.05678385171480507,0.927690942156984,-0.072309057843016
green_minus_yellow,B,2,-0.08634324709538473,0.010616334583390457,-0.10715126287883002,-0.06553523131193943,0.9172793237141781,-0.08272067628582191
