term,coef,p
zRT,0.12973395282402117,0.10815358186392122
C(Group)[T.B]:zRT,0.33385650848430454,0.001572101549066319
C(day)[T.2]:zRT,-0.19534398878563985,0.015991170899987354
C(condition)[T.structured]:zRT,-0.10479850433494543,0.10518407549933448
