contrast,Group,Day,Condition,log_diff,SE,z,p,ci_low,ci_high,ratio,ratio_ci_low,ratio_ci_high,pct_change,pct_ci_low,pct_ci_high,model
structured_minus_random,A,1.0,,-0.04826685847322756,0.008304349412241917,-5.812238391856997,6.164297072785985e-09,-0.06454338332122171,-0.0319903336252334,0.9528794691852551,0.9374954417139092,0.9685159440720321,-0.047120530814744876,-0.0625045582860908,-0.03148405592796788,linear
structured_minus_random,A,2.0,,-0.09454213750840182,0.008270497793287208,-11.431251161826973,0.0,-0.11075231318324474,-0.0783319618335589,0.9097893975599378,0.8951604409129017,0.9246574246158078,-0.09021060244006218,-0.1048395590870983,-0.0753425753841922,linear
structured_minus_random,B,1.0,,-0.07870945585322557,0.008295010401767527,-9.488771205935306,0.0,-0.09496767624068993,-0.062451235465761215,0.9243084378421292,0.9094023292951614,0.9394588739709125,-0.07569156215787076,-0.0905976707048386,-0.060541126029087455,linear
structured_minus_random,B,2.0,,-0.0789269032290667,0.00878733155037381,-8.981896583350059,0.0,-0.09615007306779937,-0.06170373339033404,0.9241074712484737,0.9083276903164972,0.9401613839601105,-0.0758925287515263,-0.09167230968350282,-0.05983861603988949,linear
day2_minus_day1,A,,random,-0.09740887763064668,0.010197249464283834,-9.552465885219748,0.0,-0.117395486580643,-0.07742226868065036,0.9071850026364898,0.889233443717854,0.9254989618560656,-0.09281499736351018,-0.11076655628214604,-0.07450103814393438,linear
day2_minus_day1,A,,structured,-0.14368415666582096,0.005779360248419398,-24.86160240748399,0.0,-0.15501170275272297,-0.13235661057891895,0.8661612761263113,0.8564051551272079,0.8760285383257909,-0.13383872387368867,-0.14359484487279206,-0.12397146167420914,linear
day2_minus_day1,B,,random,-0.11953131788453378,0.010547585063697466,-11.332576809068366,0.0,-0.14020458460938082,-0.09885805115968674,0.8873362178906774,0.8691803962759987,0.9058712862761257,-0.1126637821093226,-0.13081960372400125,-0.09412871372387432,linear
day2_minus_day1,B,,structured,-0.11974876526037492,0.006062684186511961,-19.751773567026238,0.0,-0.13163162626593836,-0.10786590425481148,0.8871432899352072,0.8766638755507332,0.8977479725426618,-0.11285671006479281,-0.12333612444926678,-0.10225202745733819,linear
B_minus_A,,1.0,random,0.08063224692660298,0.10207273136986936,0.7899489495820884,0.42955758275841616,-0.11943030655834097,0.28069480041154693,1.0839721891542773,0.8874258534258513,1.3240494429184362,0.08397218915427729,-0.11257414657414866,0.3240494429184362,linear
B_minus_A,,1.0,structured,0.05018964954660496,0.1017271311024666,0.4933752579343899,0.621747461326527,-0.1491955274142296,0.2495748265074395,1.0514704883695136,0.86140067098598,1.283479599158587,0.05147048836951362,-0.13859932901401995,0.283479599158587,linear
B_minus_A,,2.0,random,0.05850980667271588,0.10210487921807146,0.5730363438142169,0.5666200863187654,-0.14161575659470418,0.2586353699401359,1.0602553832211532,0.8679546982893177,1.2951614639163127,0.0602553832211532,-0.1320453017106823,0.2951614639163127,linear
B_minus_A,,2.0,structured,0.074125040952051,0.101738371160902,0.7285848997407304,0.46625561809685045,-0.12528216652331692,0.2735322484274189,1.0769414588627713,0.8822479266297468,1.3145997523031967,0.07694145886277126,-0.11775207337025317,0.3145997523031967,linear
