variable,interaction_coef,interaction_p,n,interaction_p_fdr
AES_sum,0.1505053236000831,0.964896771000093,37,0.964896771000093
MoCa_sum,4.697706559471834,0.3429228010093225,36,0.905081526618164
GDS_sum,-8.833865887457737,0.6033876844121093,35,0.905081526618164
NIHSS,8.184755535433268,0.5026777374831995,37,0.905081526618164
TSS,-5.633678129951352,0.7642597411924374,37,0.9171116894309249
MORE_sum,-1.3872328192127354,0.3690322751044678,36,0.905081526618164
