contrast,Group,Day,Condition,log_diff,SE,z,p,ci_low,ci_high,ratio,ratio_ci_low,ratio_ci_high,pct_change,pct_ci_low,pct_ci_high,model
structured_minus_random,A,1.0,,-0.056117449182172714,0.008466936482562384,-6.6278339630569265,3.406475101996875e-11,-0.07271264468799499,-0.03952225367635044,0.9454280896134485,0.9298679941460211,0.9612485624381779,-0.054571910386551514,-0.07013200585397894,-0.03875143756182209,flexible_bs_df4
structured_minus_random,A,2.0,,-0.09810264606971647,0.007776652013452441,-12.61502326451198,0.0,-0.11334488401608325,-0.08286040812334969,0.9065558445834986,0.892842679841177,0.9204796297312913,-0.09344415541650142,-0.10715732015882296,-0.07952037026870873,flexible_bs_df4
structured_minus_random,B,1.0,,-0.08393849401727058,0.008027762087586515,-10.45602661133497,0.0,-0.09967290770894015,-0.068204080325601,0.9194878083572163,0.9051334317893308,0.9340698288496505,-0.08051219164278367,-0.09486656821066919,-0.06593017115034949,flexible_bs_df4
structured_minus_random,B,2.0,,-0.07912751699593532,0.008708659429671292,-9.086073193577853,0.0,-0.09619648947809105,-0.06205854451377958,0.9239221011621924,0.9082855299842174,0.9398278634151461,-0.07607789883780758,-0.09171447001578259,-0.060172136584853875,flexible_bs_df4
day2_minus_day1,A,,random,-0.10803153781853544,0.010100336582850282,-10.695835424134875,0.0,-0.127828197520922,-0.08823487811614888,0.897599287660587,0.8800045531220663,0.9155458097920046,-0.10240071233941295,-0.11999544687793373,-0.08445419020799538,flexible_bs_df4
day2_minus_day1,A,,structured,-0.1500167347060792,0.005833774393162892,-25.71521018740404,0.0,-0.16145093251667847,-0.13858253689547995,0.8606935728505725,0.8509082823690125,0.8705913923928932,-0.13930642714942754,-0.1490917176309875,-0.12940860760710682,flexible_bs_df4
day2_minus_day1,B,,random,-0.12342441332770843,0.01038772741343521,-11.881753189641323,0.0,-0.14378435905804143,-0.10306446759737542,0.883888448905692,0.866074489042604,0.9020688173976202,-0.11611155109430804,-0.13392551095739602,-0.09793118260237976,flexible_bs_df4
day2_minus_day1,B,,structured,-0.11861343630637317,0.006005710374304821,-19.75010929828647,0.0,-0.1303846286400106,-0.10684224397273571,0.8881510613664124,0.8777577552132039,0.8986674320122475,-0.11184893863358758,-0.12224224478679613,-0.10133256798775248,flexible_bs_df4
B_minus_A,,1.0,random,0.042932756931545836,0.10107546128658684,0.4247594459135375,0.6710120437204261,-0.15517514719016437,0.24104066105325603,1.0438676996233849,0.8562651919068227,1.2725727784057725,0.04386769962338488,-0.1437348080931773,0.27257277840577254,flexible_bs_df4
B_minus_A,,1.0,structured,0.015111712096447967,0.10073099387981092,0.15002048043404387,0.8807484570684989,-0.18232103590798143,0.21254446010087735,1.0152264713586334,0.8333337674050907,1.2368211015338317,0.01522647135863342,-0.1666662325949093,0.23682110153383173,flexible_bs_df4
B_minus_A,,2.0,random,0.027539881422372847,0.10107187272050704,0.27247819478450336,0.7852543552544295,-0.17056098910982093,0.22564075195456662,1.027922609305542,0.843191662551476,1.253125401553657,0.027922609305542023,-0.15680833744852396,0.25312540155365704,flexible_bs_df4
B_minus_A,,2.0,structured,0.04651501049615401,0.10072557975089243,0.461799382154878,0.6442251940022441,-0.15090712581559515,0.24393714680790315,1.047613804153491,0.8599275600214029,1.2762641106951302,0.047613804153491035,-0.14007243997859709,0.27626411069513024,flexible_bs_df4
