term,coef_ridge,coef_lasso
Intercept,0.0,0.0
C(Group)[T.B],-0.13852498175431738,0.0
AES_sum,0.4470528171014548,0.0
Age,0.20358935691679308,0.0
Gender_num,-0.07899142934804071,0.0
Depression_num,-0.10431116026905762,0.0
SportsActivity_num,-0.19484145399312758,0.0
fuglmayrshort_sum,0.14986199637532227,0.0
EQ5D_health_status,0.12002674468197225,0.0
GDS_sum,-0.11585311928963965,0.0
MoCa_sum,-0.27526342397321873,0.0
MORE_sum,0.20651860231778493,0.0
TSS,-0.24587987484250146,0.0
NIHSS,-0.14641038918717758,0.0
