stratum,n,coef_B_vs_A,p_value,ci_low,ci_high
MoCa_low,14,5.874106887878025,0.8945004793663537,-80.94355696843324,92.6917707441893
MoCa_high,22,-16.017859903987407,0.4942645722503719,-61.94691705098633,29.911197243011515
GDS_low,32,-12.874536126120802,0.6410761022404414,-67.00132921466874,41.25225696242715
Fugl_high,27,-4.521544852343999,0.8729418458164996,-59.93617057771891,50.89308087303091
