Group,day,condition,BlockNumber,Age,AES_sum,MoCa_sum,NIHSS,TSS,logRT_hat,RT_hat_ms,logRT_se,logRT_ci_low,logRT_ci_high,RT_ci_low_ms,RT_ci_high_ms
A,1,random,61.152010345638374,66.69938866682342,12.268869033623325,23.815659534446272,2.4582647542910885,2.8222431225017637,6.916022066378671,1008.3010516367799,0.0650902981996674,6.788445081907323,7.04359905085002,887.5324480881615,1145.502919833357
A,1,structured,61.152010345638374,66.69938866682342,12.268869033623325,23.815659534446272,2.4582647542910885,2.8222431225017637,6.858592547255201,952.0261922258762,0.06480633793480803,6.731572124902978,6.985612969607424,838.4644010976056,1080.968815727446
A,2,random,61.152010345638374,66.69938866682342,12.268869033623325,23.815659534446272,2.4582647542910885,2.8222431225017637,6.80718180643393,904.3186673749741,0.06501479208339693,6.679752813950472,6.934610798917388,796.1222973663628,1027.219379319198
A,2,structured,61.152010345638374,66.69938866682342,12.268869033623325,23.815659534446272,2.4582647542910885,2.8222431225017637,6.709049252492435,819.7908547083285,0.06477454462138682,6.582091145034517,6.8360073599503535,722.047658007144,930.7654945080682
B,1,random,61.152010345638374,66.69938866682342,12.268869033623325,23.815659534446272,2.4582647542910885,2.8222431225017637,6.891172588657028,983.5540456241661,0.06758757909452842,6.7587009336317525,7.023644243682304,861.522293895792,1122.8711868722417
B,1,structured,61.152010345638374,66.69938866682342,12.268869033623325,23.815659534446272,2.4582647542910885,2.8222431225017637,6.806518307657448,903.7188520559903,0.06734548015840876,6.674521166546967,6.938515448767928,791.9681422289204,1031.2381521595669
B,2,random,61.152010345638374,66.69938866682342,12.268869033623325,23.815659534446272,2.4582647542910885,2.8222431225017637,6.767237140090536,868.9079037635544,0.06767006667583991,6.63460380940589,6.899870470775182,760.977513957355,992.1461953540513
B,2,structured,61.152010345638374,66.69938866682342,12.268869033623325,23.815659534446272,2.4582647542910885,2.8222431225017637,6.688154928422089,802.8395882481947,0.06738102720681145,6.556088115096739,6.82022174174744,703.5142379585822,916.1881447187958
