model,AIC,BIC,R2,adj_R2,llf,df_model
linear,5426.505576243058,5511.240698030602,0.15309616476198762,0.15201329341622238,-2701.252788121529,11.0
spline_df4,5427.374579460784,5561.538522291063,0.15438603368267978,0.1526153203981624,-2694.687289730392,18.0
