model,random_effects_spec,converged,singular_fit,n_obs,three_way_coef,three_way_se,three_way_p,dod_log,dod_se,dod_p,dod_pct_change,fit_error
A1_baseline,(1|PID),True,False,8615,0.051531407223972606,0.01667260157228268,0.001996289150804461,0.051531407223972606,0.01667260157228268,0.001996289150804461,0.052882253881614494,
A2_time_on_task_slope,(1 + BlockNumber|PID),True,True,8615,0.05084907815228264,0.016474561991339367,0.0020251378192337553,0.05084907815228264,0.016474561991339367,0.0020251378192337553,0.052164086751743444,
A3_day_slope,(1 + Day|PID),True,False,8615,0.05082140480827906,0.015587509040337748,0.0011125795103122185,0.05082140480827906,0.015587509040337748,0.0011125795103122185,0.05213497025589975,
A4_condition_slope,(1 + Condition|PID),False,False,8615,0.05233654121223815,0.016549963936648076,0.0015650904463042738,0.05233654121223815,0.016549963936648076,0.0015650904463042738,0.05373030652204669,
A5_max_sensible,(1|PID) + (0+BlockNumber|PID) + (0+Day|PID) + (0+Condition|PID),True,False,8615,0.05068942023425435,0.015246705169819663,0.000885408026374765,0.05068942023425435,0.015246705169819663,0.000885408026374765,0.05199611383368841,
