analysis,n_obs,coef,se,p,fit_error
B3_chunk_5,3054,0.04522922544642042,0.020068723145820845,0.02421396802558195,
B3_chunk_10,1745,0.03613819435908764,0.023338120058305236,0.1215110802165857,
B3_phase_3bins,432,0.046989649017759844,0.03325758778841011,0.15768510053439977,
