"SeqKind","Group","day","emmean","SE","df","n","lower.CL","upper.CL"
"blue","A","1",9008.69363713555,714.100278723501,200,18,7600.56199422476,10416.8252800463
"green","A","1",8491.42428934424,694.259513618913,200,18,7122.4165762172,9860.43200247129
"yellow","A","1",9224.37487979459,731.379833027337,200,18,7782.16974900598,10666.5800105832
"blue","B","1",8526.93817374432,552.814458399589,200,17,7436.84543085594,9617.03091663269
"green","B","1",8444.47758825657,557.639445736933,200,17,7344.87047105861,9544.08470545454
"yellow","B","1",9296.05414757275,763.636259574034,200,17,7790.24269108878,10801.8656040567
"blue","A","2",7287.36091251484,661.503448642638,200,21,5982.94476021562,8591.77706481406
"green","A","2",7681.27519484617,675.735943426479,200,21,6348.7940398298,9013.75634986254
"yellow","A","2",7967.78532075941,750.12753830423,200,21,6488.6116607335,9446.95898078532
"blue","B","2",7437.46374053607,665.472791625313,200,16,6125.220455799,8749.70702527314
"green","B","2",7121.19037739215,554.815910397461,200,16,6027.15097886739,8215.22977591691
"yellow","B","2",7534.39231653047,734.425173686477,200,16,6086.18208999643,8982.60254306451
