"contrast","Group","SeqKind","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1 - 2","A","blue",1721.33272462071,226.007913788229,200,1275.66857291033,2166.9968763311,7.61624978421603,1.01774851064666e-12
"1 - 2","B","blue",1089.47443320825,466.441349419718,200,169.700497740801,2009.24836867569,2.33571580770792,0.0204968193733857
"1 - 2","A","green",810.149094498079,242.919890599478,200,331.136279579407,1289.16190941675,3.33504635004895,0.00101644887610704
"1 - 2","B","green",1323.28721086442,465.991341724741,200,404.400643871309,2242.17377785754,2.83972488837804,0.0049818009545438
"1 - 2","A","yellow",1256.58955903517,258.235239636278,200,747.376465187201,1765.80265288315,4.86606537823834,2.30405514201037e-06
"1 - 2","B","yellow",1761.66183104227,751.891793809266,200,279.009242248456,3244.31441983609,2.34297254677733,0.0201131974718551
"1 - 2","A - B","blue",631.858291412466,512.823243344225,200,-379.375925529704,1643.09250835464,1.2321171078206,0.219351911754253
"1 - 2","A - B","green",-513.138116366344,521.744565112558,200,-1541.96425401331,515.688021280624,-0.983504478394792,0.326547476006569
"1 - 2","A - B","yellow",-505.072272007099,792.855882621579,200,-2068.50179283452,1058.35724882032,-0.637029103368795,0.524834385404648
