"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",11777.0899128739,627.301727949389,177,17,10539.13680028,13015.0430254679
"B","1","blue",13378.7942617853,1006.94404520773,177,14,11391.6332841681,15365.9552394024
"A","2","blue",11106.791956163,585.903746184567,177,20,9950.53598881427,12263.0479235117
"B","2","blue",12644.1728511675,985.715834795015,177,13,10698.9048382662,14589.4408640687
"A","1","green",12277.9784005744,613.805989870127,177,17,11066.6585494837,13489.298251665
"B","1","green",13238.4955215544,826.140670782002,177,14,11608.1422652702,14868.8487778387
"A","2","green",11409.8028443862,564.950738419776,177,20,10294.8967411059,12524.7089476664
"B","2","green",12602.9496852317,894.67999317307,177,13,10837.3370095825,14368.562360881
"A","1","yellow",12512.1352226093,725.718988208102,177,17,11079.9598589966,13944.3105862219
"B","1","yellow",13071.6686075455,810.230245960018,177,14,11472.7138937065,14670.6233213844
"A","2","yellow",11921.6872889211,581.244269652112,177,20,10774.626599091,13068.7479787512
"B","2","yellow",12977.8013464392,882.510716723779,177,13,11236.2042170369,14719.3984758414
