"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",-500.888487700437,313.707348958359,177,-1119.97651469521,118.199539294337,-1.59667438255303,0.112122120976276
"blue - yellow","A","1",-735.045309735329,402.134443029932,177,-1528.64042234166,58.5498028710035,-1.82785961878082,0.0692543043462308
"green - yellow","A","1",-234.156822034892,438.424260883352,177,-1099.36833702858,631.054692958799,-0.534087282403362,0.593951297455625
"blue - green","B","1",140.298740230807,417.249253186639,177,-683.12480333,963.722283791614,0.336246833659521,0.737083025358336
"blue - yellow","B","1",307.125654239799,329.62344354519,177,-343.372104238603,957.6234127182,0.931746998746748,0.352736450413733
"green - yellow","B","1",166.826914008992,310.0647288972,177,-445.072558193417,778.7263862114,0.53803899141428,0.59122602754894
"blue - green","A","2",-303.010888223178,240.13179012454,177,-776.900698776062,170.878922329706,-1.26185245221396,0.208662170098446
"blue - yellow","A","2",-814.89533275811,209.376393918708,177,-1228.09068518072,-401.699980335496,-3.89201149903509,0.000140635216580305
"green - yellow","A","2",-511.884444534932,215.168091207469,177,-936.509463681503,-87.2594253883603,-2.3789979344166,0.0184242167121203
"blue - green","B","2",41.2231659357322,346.845127873043,177,-643.260849503048,725.707181374512,0.118851794714617,0.905527553083172
"blue - yellow","B","2",-333.628495271719,157.949219598236,177,-645.334520173978,-21.9224703694594,-2.11225162188421,0.0360677374327631
"green - yellow","B","2",-374.851661207451,322.75748651726,177,-1011.79974734325,262.096424928349,-1.16140345883938,0.247041683994352
"blue - green","A - B","1",-641.187227931244,517.885300339666,177,-1663.21170348613,380.837247623639,-1.23808732843104,0.217323341940448
"blue - yellow","A - B","1",-1042.17096397513,519.282872859899,177,-2066.95348908481,-17.3884388654419,-2.00694268662372,0.0462776175921608
"green - yellow","A - B","1",-400.983736043884,531.902519657124,177,-1450.67059400712,648.703121919356,-0.753866961003243,0.451930800390103
"blue - green","A - B","2",-344.23405415891,420.569738164868,177,-1174.21043271279,485.742324394968,-0.818494587035567,0.414175408428562
"blue - yellow","A - B","2",-481.266837486391,267.117990598801,177,-1008.41275970886,45.8790847360774,-1.80170132460016,0.0732942353613328
"green - yellow","A - B","2",-137.032783327481,389.704051799938,177,-906.097050842352,632.031484187391,-0.351632944780952,0.725531804770323
"blue - green","A","1 - 2",-197.877599477258,379.263892928695,177,-946.338660281892,550.583461327375,-0.521741202278017,0.602502795532872
"blue - yellow","A","1 - 2",79.850023022781,350.105905213089,177,-611.068996940507,770.769042986069,0.228073910876142,0.819852044312162
"green - yellow","A","1 - 2",277.72762250004,483.855769503201,177,-677.141030358762,1232.59627535884,0.573988448634593,0.566704294704449
"blue - green","B","1 - 2",99.0755742950748,355.976641882122,177,-603.429093226376,801.580241816526,0.278320436338861,0.781091256882526
"blue - yellow","B","1 - 2",640.754149511517,284.08194703056,177,80.1305853012708,1201.37771372176,2.25552576011664,0.0253247611218627
"green - yellow","B","1 - 2",541.678575216442,354.640223798712,177,-158.188728413962,1241.54587884685,1.52740309436498,0.128445821124214
"blue - green","A - B","1 - 2",-296.953173772333,514.102549843582,177,-1311.51255311889,717.60620557422,-0.577614668246019,0.564258348150169
"blue - yellow","A - B","1 - 2",-560.904126488736,443.69063374619,177,-1436.50860293487,314.700349957401,-1.26417842484725,0.207828220788599
"green - yellow","A - B","1 - 2",-263.950952716403,592.04763327056,177,-1432.33161828075,904.429712847949,-0.445827223830451,0.656266910885603
