"contrast","Group","SeqKind","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1 - 2","A","blue",9.97094299747632,2.85067749194026,178,4.34547051546511,15.5964154794875,3.49774501874281,0.000592593688402092
"1 - 2","B","blue",-1.83940244041279,4.49510831530591,178,-10.7099632817944,7.0311584009688,-0.409200916060152,0.682884172135547
"1 - 2","A","green",3.33978044905486,3.40571257027813,178,-3.38098764902248,10.0605485471322,0.98064072646686,0.328100915431203
"1 - 2","B","green",4.82717889168388,3.37822374693056,178,-1.83934328775068,11.4937010711184,1.4289103544636,0.154782510504942
"1 - 2","A","yellow",6.8417712805721,3.07091780579219,178,0.781680772317507,12.9018617888267,2.22792393455388,0.0271382036012281
"1 - 2","B","yellow",5.21706578687977,5.32031434232673,178,-5.28194085733999,15.7160724310995,0.980593523464291,0.328124136427422
"1 - 2","A - B","blue",11.8103454378891,5.33496604632207,178,1.28242540102025,22.338265474758,2.21376206246545,0.0281156605702784
"1 - 2","A - B","green",-1.48739844262902,4.79859690143895,178,-10.9568578597782,7.98206097452021,-0.309965282181338,0.756949952028432
"1 - 2","A - B","yellow",1.62470549369233,6.15580440546299,178,-10.523041273693,13.7724522610776,0.263930655797068,0.792138666216684
