"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",14.9000357321464,2.2177150552873,178,17,10.5236392257955,19.2764322384973
"B","1","blue",7.99225972643995,4.05514718310165,178,14,-0.0100902249454373,15.9946096778253
"A","2","blue",4.92909273467008,3.25111139703504,178,20,-1.48658836278213,11.3447738321223
"B","2","blue",9.83166216685273,3.30186027991866,178,13,3.31583419380279,16.3474901399027
"A","1","green",9.90621991565528,3.56476098090016,178,17,2.87158872370235,16.9408511076082
"B","1","green",8.0105338736454,3.04294252388402,178,14,2.00564925206017,14.0154184952306
"A","2","green",6.56643946660041,2.83149876271073,178,20,0.978813922317413,12.1540650108834
"B","2","green",3.18335498196152,3.87388680040851,178,13,-4.46129919436618,10.8280091582892
"A","1","yellow",11.4303359802426,2.53616350117511,178,17,6.42551939678859,16.4351525636967
"B","1","yellow",10.7205535948137,3.69490099884631,178,14,3.42910657861046,18.012000611017
"A","2","yellow",4.58856469967053,2.36634769550722,178,20,-0.081140618304965,9.25827001764602
"B","2","yellow",5.50348780793395,4.12212733412982,178,13,-2.63103949340254,13.6380151092704
