model,log_DoD,SE,p,pct_change
linear,-0.0460578316593331,0.0168309934026893,0.0062098633449827,-0.0450132678736531
flexible_bs_df4,-0.0468047452102875,0.0167972319195817,0.0053287875849186,-0.0457262940872407
