"contrast","Group","SeqKind","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1 - 2","A","blue",2423.20876935741,347.279740315124,177,1737.8670648649,3108.55047384992,6.97768538745903,5.78209614957783e-11
"1 - 2","B","blue",468.304920515763,319.582119082355,177,-162.376713887918,1098.98655491944,1.46536646624802,0.144595064689276
"1 - 2","A","green",1043.55228682171,270.194020329485,177,510.335951574907,1576.76862206851,3.86223309290547,0.000157414641605058
"1 - 2","B","green",774.011787941238,565.58536059166,177,-342.146715034399,1890.17029091688,1.36851453710107,0.17288556672067
"1 - 2","A","yellow",1836.97141854508,483.183672833019,177,883.429119700218,2790.51371738995,3.80180772205006,0.000197476620551016
"1 - 2","B","yellow",1081.07374777835,311.229925489112,177,466.874809970356,1695.27268558634,3.47355334188828,0.000645703426729372
"1 - 2","A - B","blue",1954.90384884165,457.768148697118,177,1051.51799913506,2858.28969854823,4.27051085665444,3.17664098998885e-05
"1 - 2","A - B","green",269.540498880472,616.44476083336,177,-946.98685377089,1486.06785153183,0.437250044133858,0.662463034972349
"1 - 2","A - B","yellow",755.897670766737,564.840550488506,177,-358.790981347011,1870.58632288049,1.33824965313307,0.182531664093456
