"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",619.78940614283,336.155923255562,177,-43.5999214642711,1283.17873374993,1.84375571948984,0.0668906455331912
"blue - yellow","A","1",-213.713995777358,207.294405284552,177,-622.800632736261,195.372641181546,-1.03096846962171,0.303962295299831
"green - yellow","A","1",-833.503401920188,424.241432681997,177,-1670.72571246095,3.71890862057148,-1.96469118221408,0.0510152705315296
"blue - green","B","1",13.6552872365662,343.113821691588,177,-663.46515514707,690.775729620202,0.0397981263746362,0.968298924228185
"blue - yellow","B","1",-667.152549981293,237.520350646283,177,-1135.88879648928,-198.416303473301,-2.80882268894433,0.00553121767329165
"green - yellow","B","1",-680.807837217859,398.721554528963,177,-1467.66776043372,106.052085997998,-1.70747688326543,0.0894868447050656
"blue - green","A","2",-759.867076392868,352.037581091507,177,-1454.59817602956,-65.1359767561728,-2.15848283594288,0.0322371563248356
"blue - yellow","A","2",-799.951346589683,347.5199169311,177,-1485.76702935464,-114.135663824724,-2.30188633116036,0.0225061269874232
"green - yellow","A","2",-40.0842701968153,277.66298690587,177,-588.04029132225,507.871750928619,-0.144363030317772,0.885378049591715
"blue - green","B","2",319.362154662042,337.927156100247,177,-347.522625158104,986.246934482188,0.94506212033253,0.345915461479105
"blue - yellow","B","2",-54.383722718709,279.989811353585,177,-606.931632307331,498.164186869913,-0.194234648953103,0.84621489803753
"green - yellow","B","2",-373.745877380751,360.934376476408,177,-1086.03442194089,338.542667179384,-1.03549537461467,0.30185027008269
"blue - green","A - B","1",606.134118906264,483.330719368928,177,-347.69836998386,1559.96660779639,1.25407737314458,0.211467578669244
"blue - yellow","A - B","1",453.438554203935,318.145616048667,177,-174.408202942804,1081.28531135067,1.42525476175215,0.155844580796892
"green - yellow","A - B","1",-152.695564702329,589.924226188224,177,-1316.88577726813,1011.49464786347,-0.258839284646719,0.796060010857828
"blue - green","A - B","2",-1079.22923105491,491.15759125908,177,-2048.50771664261,-109.950745467214,-2.1973176232262,0.0292962619272408
"blue - yellow","A - B","2",-745.567623870974,450.463649252944,177,-1634.53835654542,143.403108803472,-1.65511162800247,0.099673885727714
"green - yellow","A - B","2",333.661607183935,448.498741673893,177,-551.431464478166,1218.75467884604,0.743952159015295,0.457891882287629
"blue - green","A","1 - 2",1379.6564825357,423.877018194685,177,543.15332838929,2216.15963668211,3.25485087257556,0.00135928398583755
"blue - yellow","A","1 - 2",586.237350812325,431.406893592018,177,-265.125690164052,1437.6003917887,1.35889657657332,0.175908447567969
"green - yellow","A","1 - 2",-793.419131723373,474.891428043559,177,-1730.5970403711,143.758776924353,-1.67073795160311,0.0965407011786836
"blue - green","B","1 - 2",-305.706867425476,583.909473835643,177,-1458.02722364527,846.613488794321,-0.523551819458105,0.601245178798636
"blue - yellow","B","1 - 2",-612.768827262584,265.729753245024,177,-1137.17512248172,-88.3625320434464,-2.30598500837639,0.0222706994224094
"green - yellow","B","1 - 2",-307.061959837108,485.125747425709,177,-1264.43685977295,650.312940098732,-0.632953335225999,0.527581021483469
"blue - green","A - B","1 - 2",1685.36334996117,731.34804308837,177,242.079287456896,3128.64741246545,2.3044614200978,0.0223579607758348
"blue - yellow","A - B","1 - 2",1199.00617807491,508.656842780665,177,195.193668549441,2202.81868760038,2.35720052741319,0.0195060252123663
"green - yellow","A - B","1 - 2",-486.357171886265,685.866206059883,177,-1839.88477556496,867.17043179243,-0.709113771154079,0.479186861692037
