"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",8435.7523784997,522.498654082336,178,17,7404.66352024113,9466.84123675826
"B","1","blue",8465.19248470257,573.003781826917,178,14,7334.43777257913,9595.94719682601
"A","2","blue",6619.29780951888,493.469903551364,178,20,5645.49373277659,7593.10188626117
"B","2","blue",8024.51141615177,635.721302811123,178,13,6769.99114674094,9279.0316855626
"A","1","green",8046.58579641701,537.937454460557,178,17,6985.03030454994,9108.14128828407
"B","1","green",8449.13837782157,601.188946937006,178,14,7262.76359952929,9635.51315611385
"A","2","green",7108.45257721241,507.633017560542,178,20,6106.69928196207,8110.20587246275
"B","2","green",7595.94461826184,539.634271948919,178,13,6531.04065919189,8660.8485773318
"A","1","yellow",8688.23876821579,579.352202999424,178,17,7544.95620307807,9831.52133335351
"B","1","yellow",9045.23821904698,644.250823447909,178,14,7773.88595662303,10316.5904814709
"A","2","yellow",7358.80961478957,537.415729068456,178,20,6298.28368584034,8419.33554373879
"B","2","yellow",8189.9001852541,748.04109605381,178,13,6713.7301824524,9666.0701880558
