"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",-210.091315896247,260.888629129589,178,-724.923950660278,304.741318867785,-0.805291194933184,0.421726057378134
"blue - yellow","A","1",-668.850359944542,299.382901425735,178,-1259.64685597638,-78.0538639127008,-2.23409672616343,0.0267214963217789
"green - yellow","A","1",-458.759044048296,260.422453581035,178,-972.671736894104,55.1536487975125,-1.76159558340673,0.0798544446400909
"blue - green","B","1",18.2470045456507,284.549499052114,178,-543.277538729933,579.771547821234,0.0641259415547551,0.948941903306825
"blue - yellow","B","1",-252.650470139553,252.07000892609,178,-750.080608330629,244.779668051524,-1.00230277777168,0.317557975868364
"green - yellow","B","1",-270.897474685203,288.896856213476,178,-841.001009498715,299.206060128308,-0.937696166845883,0.349671138810969
"blue - green","A","2",-292.673159861891,199.060590133887,178,-685.495524095353,100.149204371571,-1.47027173819309,0.143253590091698
"blue - yellow","A","2",-780.375169470635,171.339592232781,178,-1118.49344623455,-442.256892706716,-4.55455250769139,9.71287054800848e-06
"green - yellow","A","2",-487.702009608744,187.169502491322,178,-857.05872874431,-118.345290473178,-2.60567027810183,0.00994568486592317
"blue - green","B","2",-369.23006429702,223.843368712992,178,-810.958290143625,72.4981615495853,-1.64950191028639,0.100808472230577
"blue - yellow","B","2",-684.769692172588,137.058599805178,178,-955.238513639387,-414.300870705789,-4.99618187509544,1.3896688600043e-06
"green - yellow","B","2",-315.539627875568,293.642058575033,178,-895.007254341673,263.927998590536,-1.07457231912485,0.284020722066387
"blue - green","A - B","1",-228.338320441897,386.045715194361,178,-990.15355691261,533.476916028815,-0.591480002120829,0.554949266724929
"blue - yellow","A - B","1",-416.19988980499,391.368638327205,178,-1188.51928105727,356.119501447293,-1.0634472184177,0.28901975500206
"green - yellow","A - B","1",-187.861569363092,388.948901347204,178,-955.405897903725,579.68275917754,-0.482998071758001,0.629690629482087
"blue - green","A - B","2",76.5569044351287,299.551284859924,178,-514.571876247689,667.685685117947,0.255571944787111,0.798576468354221
"blue - yellow","A - B","2",-95.6054772980468,219.413572157813,178,-528.592027282502,337.381072686409,-0.43573182988554,0.663559254135634
"green - yellow","A - B","2",-172.162381733176,348.221310702019,178,-859.335661257961,515.01089779161,-0.494405070689366,0.621629754150383
"blue - green","A","1 - 2",82.5818439656445,304.997801304658,178,-519.294988178379,684.458676109668,0.270762096029521,0.786887725373953
"blue - yellow","A","1 - 2",111.524809526093,301.20244544363,178,-482.862339896537,705.911958948722,0.370265285734422,0.711625044282521
"green - yellow","A","1 - 2",28.942965560448,257.301434423106,178,-478.810767726307,536.696698847203,0.112486607878191,0.910564342441434
"blue - green","B","1 - 2",387.477068842671,289.159849263566,178,-183.145451429708,958.099589115049,1.34000992817468,0.181950188237199
"blue - yellow","B","1 - 2",432.119222033035,229.106777685232,178,-19.9957144880059,884.234158554077,1.88610405331055,0.06090956034194
"green - yellow","B","1 - 2",44.6421531903649,325.811017105575,178,-598.30708124443,687.591387625159,0.13701855016124,0.89117098897536
"blue - green","A - B","1 - 2",-304.895224877026,420.282140028342,178,-1134.27196780736,524.481518053305,-0.725453679417509,0.469126432424647
"blue - yellow","A - B","1 - 2",-320.594412506943,378.434708665225,178,-1067.39023415044,426.201409136553,-0.847159114019192,0.398044030103215
"green - yellow","A - B","1 - 2",-15.6991876299169,415.158821444947,178,-834.965671581827,803.567296321994,-0.0378148959361537,0.96987764417085
