"day","Group","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"1","A","blue",6623.29326668644,480.981067662514,177,17,5674.09771487758,7572.4888184953
"2","A","blue",6075.57599006447,449.425540688984,177,20,5188.65392021161,6962.49805991734
"1","B","blue",7433.88993360126,764.682482334879,177,14,5924.82178190487,8942.95808529766
"2","B","blue",6903.23294199067,673.735163179079,177,13,5573.64543224794,8232.8204517334
"1","A","green",6872.2837985829,435.340757648973,177,17,6013.15744525323,7731.41015191257
"2","A","green",6356.7457385869,443.65417040285,177,20,5481.21322098827,7232.27825618552
"1","B","green",7421.34170929062,718.134134504132,177,14,6004.13472984311,8838.54868873813
"2","B","green",7294.87843968787,800.601948047104,177,13,5714.92475970429,8874.83211967146
"1","A","yellow",7253.74436944899,563.839434603139,177,17,6141.03137668885,8366.45736220913
"2","A","yellow",6783.19433041096,431.044974210279,177,20,5932.54552184488,7633.84313897705
"1","B","yellow",7711.02595155568,713.626414100463,177,14,6302.71476540156,9119.3371377098
"2","B","yellow",7559.49912597525,671.129579597657,177,13,6235.05362391563,8883.94462803486
