"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",-248.990531896463,249.654867249287,177,-741.673727582513,243.692663789587,-0.997338984974963,0.319961496216578
"blue - yellow","A","1",-630.451102762548,301.699685544971,177,-1225.84251991986,-35.0596856052402,-2.08966443443168,0.0380774490898547
"green - yellow","A","1",-381.460570866085,259.681617126569,177,-893.931128306037,131.009986573868,-1.46895484973879,0.143620080087076
"blue - green","B","1",12.5482243106429,285.327257373264,177,-550.532906563632,575.629355184918,0.0439783581357155,0.96497122906816
"blue - yellow","B","1",-277.136017954413,246.971881099597,177,-764.52445530158,210.252419392754,-1.12213591571849,0.263324581917694
"green - yellow","B","1",-289.684242265056,278.704730534341,177,-839.696099856312,260.3276153262,-1.03939478066865,0.300038919437322
"blue - green","A","2",-281.169748522422,189.91145186271,177,-655.951870866022,93.6123738211779,-1.48053077244485,0.140509474890914
"blue - yellow","A","2",-707.618340346491,170.783630570168,177,-1044.65252600952,-370.584154683457,-4.14336162068975,5.29561110947917e-05
"green - yellow","A","2",-426.448591824069,189.1236262749,177,-799.675974087805,-53.2212095603327,-2.25486683088556,0.0253669493953309
"blue - green","B","2",-391.645497697206,222.464982939507,177,-830.670620381619,47.3796249872069,-1.76048154870154,0.0800533172877015
"blue - yellow","B","2",-656.266183984579,141.976803793379,177,-936.451329889893,-376.081038079265,-4.62234792198628,7.29083855044488e-06
"green - yellow","B","2",-264.620686287373,287.345065157473,177,-831.683874464827,302.442501890082,-0.920916063557081,0.358347711352246
"blue - green","A - B","1",-261.538756207106,378.745282590122,177,-1008.97636170426,485.898849290048,-0.690539970342399,0.490759213104971
"blue - yellow","A - B","1",-353.315084808135,391.085419492604,177,-1125.10542234415,418.475252727877,-0.903421777438104,0.367529961836812
"green - yellow","A - B","1",-91.776328601029,383.283278888036,177,-848.169475573109,664.616818371052,-0.239447775721618,0.811035437452823
"blue - green","A - B","2",110.475749174784,290.402343194302,177,-462.620846361726,683.572344711295,0.380423063945002,0.704087539469508
"blue - yellow","A - B","2",-51.3521563619116,227.498143457494,177,-500.310005917322,397.605693193499,-0.225725606290525,0.821675268018986
"green - yellow","A - B","2",-161.827905536696,348.243328499439,177,-849.07121007091,525.415398997518,-0.464697791150812,0.642719013143203
"blue - green","A","1 - 2",32.1792166259587,292.262150084134,177,-544.587628210865,608.946061462782,0.110103948173567,0.912451675065769
"blue - yellow","A","1 - 2",77.1672375839426,304.734284689836,177,-524.212831109749,678.547306277634,0.253227947956315,0.800385945729331
"green - yellow","A","1 - 2",44.9880209579838,252.176857567462,177,-452.672214683818,542.648256599786,0.178398689681303,0.858613900795333
"blue - green","B","1 - 2",404.193722007849,292.629792433893,177,-173.298649271715,981.686093287414,1.38124597173119,0.168944591157867
"blue - yellow","B","1 - 2",379.130166030166,240.673367191106,177,-95.8284236849523,854.088755745284,1.5752892414104,0.116975374345418
"green - yellow","B","1 - 2",-25.0635559776832,331.362056416529,177,-678.992392547813,628.865280592447,-0.0756379781340377,0.939792543219195
"blue - green","A - B","1 - 2",-372.01450538189,410.48037741208,177,-1182.0799622987,438.05095153492,-0.906290594759481,0.366014151674822
"blue - yellow","A - B","1 - 2",-301.962928446223,389.074184542224,177,-1069.78417988531,465.858322992864,-0.776106306825538,0.438722032396284
"green - yellow","A - B","1 - 2",70.051576935667,414.535518804712,177,-748.016527965914,888.119681837248,0.168988117442039,0.865998951352608
