"contrast","day","SeqKind","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"A - B","1","blue",-318.501148306569,988.138217953558,178,-2268.47422286081,1631.47192624767,-0.322324491169046,0.747585138510612
"A - B","2","blue",-2238.35049781865,953.436664013084,178,-4119.84418902381,-356.856806613483,-2.34766564188676,0.0199903149893661
"A - B","1","green",-939.218101931884,1007.10220629213,178,-2926.61434864412,1048.17814478036,-0.932594622535705,0.352292566314235
"A - B","2","green",-1144.22288078478,944.499197641846,178,-3008.0795466609,719.633785091334,-1.21145987592323,0.227325034731409
"A - B","1","yellow",-744.318416931778,1174.92644462228,178,-3062.89580820001,1574.25897433645,-0.633502139932737,0.527218928436923
"A - B","2","yellow",-1473.34521145599,1085.97879827515,178,-3616.39501734138,669.704594429399,-1.35669795192696,0.176595321329598
"A - B","1 - 2","blue",1919.84934951208,477.301889695673,178,977.950922318399,2861.74777670576,4.0222957230196,8.50675504816157e-05
"A - B","1 - 2","green",205.004778852898,603.573346943419,178,-986.075328842692,1396.08488654849,0.339651808501935,0.734519184540394
"A - B","1 - 2","yellow",729.026794524214,572.744299774014,178,-401.215860675103,1859.26944972353,1.27286608493854,0.204725559003222
