"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",13946.7954055784,660.651181076927,178,17,12643.0789908439,15250.5118203128
"B","1","blue",14265.2965538849,754.390025829681,178,14,12776.5976944008,15753.9954133691
"A","2","blue",11492.8882398342,575.739727419538,178,20,10356.7344649662,12629.0420147022
"B","2","blue",13731.2387376529,778.332535044393,178,13,12195.2921880605,15267.1852872452
"A","1","green",13309.9200538882,629.49209106196,178,17,12067.6923918939,14552.1477158825
"B","1","green",14249.1381558201,811.457264248814,178,14,12647.8238986774,15850.4524129628
"A","2","green",12257.808031422,622.203343666821,178,20,11029.9638442387,13485.6522186053
"B","2","green",13402.0309122068,736.976429229189,178,13,11947.6957114549,14856.3661129586
"A","1","yellow",14177.3757468694,773.339401391763,178,17,12651.2825518011,15703.4689419376
"B","1","yellow",14921.6941638011,907.749262511064,178,14,13130.3591175675,16713.0292100348
"A","2","yellow",12324.7970228052,614.647296148175,178,20,11111.8637953882,13537.7302502223
"B","2","yellow",13798.1422342612,914.390516031423,178,13,11993.7014652545,15602.5830032679
