term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1566.2331724820397,536.8652623720701,2.9173673214799556,0.0035299979327034123,513.9965936821357,2618.469751281944
C(Group)[T.B],103.05477214598001,115.20904824484263,0.8945024172664605,0.371053137009147,-122.75081310704907,328.8603573990091
C(day)[T.2],-88.8605497632269,106.20188632606602,-0.8367134788020908,0.40275364085982024,-297.0124220525331,119.29132252607933
C(Group)[T.B]:C(day)[T.2],-44.581804206121895,151.07316761802414,-0.2951007442886433,0.7679169211700358,-340.67977176783194,251.51616335558816
Age,1.954192727149836,3.406491309987725,0.5736673161091603,0.5661929494785622,-4.722407554074774,8.630793008374447
fuglmayrshort_sum,-0.512616300307347,31.493047817278434,-0.01627712577333032,0.9870133061132985,-62.237855785570844,61.21262318495614
MoCa_sum,-31.595531731962158,10.999239997671294,-2.872519532135985,0.004072129057138415,-53.15364598471032,-10.037417479213993
