term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,700.516276463076,305.67833108301664,2.2916779019996305,0.021924236484044877,101.39775668605284,1299.6347962400991
C(Group)[T.B],5.310470493824415,41.69386515130065,0.12736815055532824,0.8986490230770509,-76.40800357899451,87.02894456664333
C(day)[T.2],-110.22546166197246,35.30131817411409,-3.122417727245072,0.0017937223172277289,-179.41477389002534,-41.03614943391959
C(Group)[T.B]:C(day)[T.2],-12.094116291237626,46.171868516879336,-0.2619369040006753,0.793370087347046,-102.58931568323993,78.40108310076468
AES_sum,0.9101305551640189,2.26978660941167,0.40097626419600974,0.6884375993684881,-3.5385694518741366,5.358830562202174
Age,-0.7717991306995373,2.3005983791584335,-0.335477559965014,0.7372648694968447,-5.280889096741291,3.7372908353422165
Gender_num,-8.736924244228096,28.264964667412816,-0.3091079131721347,0.7572394399232829,-64.13523701665436,46.661388528198174
Depression_num,10.203222570773926,49.31806842288622,0.20688609463137622,0.8360988164622969,-86.45841532516516,106.86486046671303
SportsActivity_num,-7.987186493906627,22.11333681058907,-0.3611931823008243,0.7179550383543891,-51.32853022066504,35.35415723285178
fuglmayrshort_sum,-13.262444685875433,8.072750399938842,-1.6428656937016048,0.10041072440673496,-29.08474472593688,2.5598553541860145
EQ5D_health_status,-1.211111369162678,0.6145235445852352,-1.9708136162302816,0.04874519867429955,-2.415555384201633,-0.0066673541237229905
GDS_sum,0.13299207080911746,8.990824232693598,0.01479197761708148,0.9881981398167776,-17.4886996166003,17.754683758218533
MoCa_sum,-6.781466704096211,3.3297302948244396,-2.036641440490532,0.041685986789980145,-13.307618160184049,-0.25531524800837335
MORE_sum,-0.9032245531330102,1.1132894459263054,-0.8113115205017397,0.4171867957998152,-3.0852317715171207,1.2787826652511
TSS,10.956864533271306,7.627123511447913,1.4365657664813776,0.15084141668246273,-3.992022854805274,25.905751921347886
NIHSS,-19.9695874936951,8.625247395786307,-2.315248082443507,0.02059935923782939,-36.87476174718415,-3.064413240206047
