term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-7.031649949138787,3.298634789041282,-2.1316848935503017,0.033032759513819177,-13.49685533381058,-0.5664445644669955
C(Group)[T.B],-0.03207151878599815,0.42097338620555436,-0.0761841955736797,0.93927255624945,-0.8571641941987554,0.7930211566267592
C(day)[T.2],0.9009471552755113,0.3484050851326623,2.58591850039289,0.009711989159825466,0.21808573638488182,1.5838085741661407
C(Group)[T.B]:C(day)[T.2],0.15559889711609146,0.4956013952365573,0.31395976405962694,0.7535515983263475,-0.8157619882353615,1.1269597824675444
AES_sum,-0.013085280408638947,0.025158207448567713,-0.5201197436419067,0.6029801181671423,-0.062394460923418986,0.03622390010614109
Age,0.005750172722912975,0.02571679647883412,0.2235959960116176,0.8230716795160237,-0.04465382217334837,0.05615416761917433
Gender_num,0.19873132508727961,0.3060163998311864,0.6494139699601379,0.5160708367060443,-0.40104979726045475,0.798512447435014
Depression_num,-0.4481985504556474,0.5536923683859344,-0.8094721474348446,0.41824361741318705,-1.5334156510067627,0.6370185500954679
SportsActivity_num,0.11309344366146357,0.2504851893367623,0.4514975275021799,0.6516310066455342,-0.3778485060992869,0.604035393422214
fuglmayrshort_sum,0.13398006903247434,0.09224966692115417,1.4523637158168512,0.14640049965035645,-0.046825955718803824,0.3147860937837525
EQ5D_health_status,0.011524954349773742,0.007134977060966422,1.6152755995283752,0.10625102528698795,-0.0024593437202398913,0.025509252419787375
GDS_sum,0.010702408002686015,0.10135922041050406,0.105588894225324,0.9159085366142519,-0.1879580135029591,0.20936282950833113
MoCa_sum,0.0653982213909031,0.038729644493313016,1.6885830543111393,0.09129936035175122,-0.010510486950030443,0.14130692973183662
MORE_sum,0.010632024890960592,0.01310355085282598,0.8113850215392291,0.41714459812330795,-0.015050462850167439,0.036314512632088625
TSS,-0.0846655480870836,0.08522798173565646,-0.9934008334220877,0.32051465560545644,-0.2517093227640078,0.08237822658984059
NIHSS,0.22566126499653033,0.09027027114558009,2.49984033650019,0.012424929028379739,0.048734784676528115,0.4025877453165325
