term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-54.65272924361882,143.43778662412086,-0.3810204446812642,0.7031880781242708,-335.7856250490368,226.4801665617992
C(Group)[T.B],37.42111268109016,21.772274824152856,1.7187507039722565,0.08565977516577038,-5.251761835757577,80.09398719793789
C(day)[T.2],31.790424026736684,22.75296301140306,1.3971993015065483,0.1623536467225608,-12.804564017185324,76.38541207065869
C(Group)[T.B]:C(day)[T.2],-50.51157455029973,30.416484722149775,-1.6606644394221,0.09678085913452143,-110.12678914202607,9.103640041426623
AES_sum,4.675751476603708,1.3419104701719806,3.484398982299064,0.0004932436145967773,2.045655284589415,7.305847668618
Age,0.2706684038087886,0.7099373380566194,0.38125675225043887,0.7030127411752792,-1.1207832100624227,1.6621200176799997
Gender_num,4.4824871361003975,24.921122329161992,0.17986698499750622,0.8572569946004229,-44.362015083374054,53.326989355574845
Depression_num,8.403636314772644,25.399889800518594,0.33085325884370825,0.7407553294207214,-41.37923290553006,58.18650553507534
SportsActivity_num,-3.363803660897104,10.980935196234284,-0.3063312551057273,0.7593524441848695,-24.886041162084574,18.158433840290364
fuglmayrshort_sum,4.345710949801514,3.86356814772606,1.124792105028411,0.26067714075434223,-3.2267434715576906,11.918165371160718
EQ5D_health_status,-0.6211895671360685,0.4209047040576746,-1.475843726970915,0.13998584903655517,-1.4461476280126009,0.20376849374046369
GDS_sum,-12.431474665217651,4.409294557732532,-2.8193794953926834,0.004811659390981893,-21.073533195601883,-3.789416134833422
MoCa_sum,-1.7895076309998057,2.467933351253579,-0.7251037107994958,0.46838840807676074,-6.626568115702059,3.047552853702448
MORE_sum,1.053683487668616,0.7458565830423561,1.4127159451628504,0.15773926130834337,-0.40816855272651,2.515535528063742
TSS,2.8216446652453113,5.275581392549473,0.5348499919326856,0.5927535908091138,-7.51830486166132,13.161594192151941
NIHSS,-10.725687190194252,5.5671449600098235,-1.926604618209066,0.054028922682538484,-21.637090808527184,0.18571642813868117
