"contrast","Group","SeqKind","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1 - 2","A","blue",2203.95241940603,387.90384166319,200,1439.0462988973,2968.85853991476,5.68169784025929,4.66099196742665e-08
"1 - 2","B","blue",1600.61667323938,732.250867465688,200,156.693952931137,3044.53939354762,2.18588566344632,0.0299850889155547
"1 - 2","A","green",855.780534184953,301.428492077107,200,261.394828962443,1450.16623940746,2.83908308829027,0.00499143687507305
"1 - 2","B","green",1666.98206642814,808.774743019666,200,72.162204897174,3261.8019279591,2.06112033148345,0.0405852260419926
"1 - 2","A","yellow",1705.09120593728,471.832334346693,200,774.686807650663,2635.49560422389,3.61376506402041,0.000381802524895658
"1 - 2","B","yellow",2575.75818636021,998.365672385867,200,607.084687176796,4544.43168554363,2.57997471027298,0.0105974710757997
"1 - 2","A - B","blue",603.335746166646,816.713710283237,200,-1007.13893493091,2213.8104272642,0.738735910233965,0.460933418042353
"1 - 2","A - B","green",-811.201532243186,859.677297150113,200,-2506.3959480373,883.992883550928,-0.943611672580365,0.346506610472658
"1 - 2","A - B","yellow",-870.666980422936,1099.87302141597,200,-3039.5024378299,1298.16847698403,-0.791606815941395,0.429527800878318
