"day","Group","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"1","A","blue",8143.93298650614,682.080368872091,200,18,6798.94128291244,9488.92469009984
"2","A","blue",6964.08058109417,616.970969059084,200,21,5747.47785711481,8180.68330507353
"1","B","blue",7710.14377040394,575.517740314323,200,17,6575.28251164381,8845.00502916408
"2","B","blue",6964.49554917569,619.193857515698,200,16,5743.50951984318,8185.48157850821
"1","A","green",8027.4685837196,650.763477378242,200,18,6744.23054019858,9310.70662724063
"2","A","green",7253.88911745866,641.853993382095,200,21,5988.21965178417,8519.55858313316
"1","B","green",7765.39094564237,593.082547257995,200,17,6595.89371040115,8934.88818088359
"2","B","green",6910.53724309514,629.654820657432,200,16,5668.92328004787,8152.15120614242
"1","A","yellow",8584.43331156699,699.521517187895,200,18,7205.04947347352,9963.81714966047
"2","A","yellow",7665.56190429313,662.242870521368,200,21,6359.68768878356,8971.43611980269
"1","B","yellow",8253.40919242559,615.029894252781,200,17,7040.63406652657,9466.18431832461
"2","B","yellow",7330.9154456057,638.89334993331,200,16,6071.08406156739,8590.74682964401
