"SeqKind","Group","day","emmean","SE","df","n","lower.CL","upper.CL"
"blue","A","1",17.7979610339544,3.09355189167702,178,17,11.6932048531849,23.9027172147239
"green","A","1",8.52597032634509,4.86207026541257,178,17,-1.06874621420158,18.1206868668918
"yellow","A","1",13.3874026993489,4.03205386089212,178,17,5.43062466866491,21.3441807300329
"blue","B","1",6.98831133399193,5.16910583108719,178,14,-3.21230332396181,17.1889259919457
"green","B","1",8.05348781000126,4.05826161141785,178,14,0.0449919052979375,16.0619837147046
"yellow","B","1",15.1494650719899,4.05817502981443,178,14,7.141140025768,23.1577901182117
"blue","A","2",3.49270465677569,4.45567439677455,178,20,-5.3000380434155,12.2854473569669
"green","A","2",7.28002852770426,3.95640162852214,178,20,-0.527458833444766,15.0875158888533
"yellow","A","2",3.24287054166961,4.35374609514092,178,20,-5.34872879607555,11.8344698794148
"blue","B","2",9.05775502876311,4.1076111537262,178,13,0.951873680409856,17.1636363771164
"green","B","2",6.77853370049564,5.16884313555613,178,13,-3.4215625591176,16.9786299601089
"yellow","B","2",6.68162687379101,4.47834263381319,178,13,-2.15584889214933,15.5191026397314
