"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",17.7979610339544,3.09355189167702,178,17,11.6932048531849,23.9027172147239
"B","1","blue",6.98831133399193,5.16910583108719,178,14,-3.21230332396181,17.1889259919457
"A","2","blue",3.49270465677569,4.45567439677455,178,20,-5.3000380434155,12.2854473569669
"B","2","blue",9.05775502876311,4.1076111537262,178,13,0.951873680409856,17.1636363771164
"A","1","green",8.52597032634509,4.86207026541257,178,17,-1.06874621420158,18.1206868668918
"B","1","green",8.05348781000126,4.05826161141785,178,14,0.0449919052979375,16.0619837147046
"A","2","green",7.28002852770426,3.95640162852214,178,20,-0.527458833444766,15.0875158888533
"B","2","green",6.77853370049564,5.16884313555613,178,13,-3.4215625591176,16.9786299601089
"A","1","yellow",13.3874026993489,4.03205386089212,178,17,5.43062466866491,21.3441807300329
"B","1","yellow",15.1494650719899,4.05817502981443,178,14,7.141140025768,23.1577901182117
"A","2","yellow",3.24287054166961,4.35374609514092,178,20,-5.34872879607555,11.8344698794148
"B","2","yellow",6.68162687379101,4.47834263381319,178,13,-2.15584889214933,15.5191026397314
