"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",9.2719907076093,4.86170457992624,178,-0.32200419618742,18.865985611406,1.90714811136261,0.0581118450857696
"blue - yellow","A","1",4.41055833460549,3.26992417335484,178,-2.04224753609675,10.8633642053077,1.34882587509068,0.17910637657483
"green - yellow","A","1",-4.86143237300381,5.05764098462029,178,-14.8420844331947,5.11921968718712,-0.96120550821754,0.337752741129252
"blue - green","B","1",-1.06517647600934,5.28637660024226,178,-11.4972110285991,9.36685807658043,-0.20149462600915,0.840541909032123
"blue - yellow","B","1",-8.16115373799792,4.04057080560277,178,-16.1347389446028,-0.187568531393095,-2.01980218405811,0.0449035072094685
"green - yellow","B","1",-7.09597726198859,4.16012530992161,178,-15.3054890425561,1.11353451857896,-1.70571238444793,0.0898059324133123
"blue - green","A","2",-3.78732387092857,3.55793351125251,178,-10.8084818647617,3.23383412290453,-1.06447291916799,0.288556372697501
"blue - yellow","A","2",0.249834115106088,3.44763143253981,178,-6.55365586462817,7.05332409484035,0.0724654360521477,0.942312872297373
"green - yellow","A","2",4.03715798603466,3.33591558007711,178,-2.54587406550177,10.6201900375711,1.21020987765564,0.22780300194397
"blue - green","B","2",2.27922132826747,4.92148591612788,178,-7.43274492188147,11.9911875784164,0.463116499185415,0.643846581159285
"blue - yellow","B","2",2.3761281549721,3.03960171102526,178,-3.62216377036544,8.37442008030964,0.781723521984277,0.435415634318627
"green - yellow","B","2",0.0969068267046289,4.34864691349661,178,-8.4846298834364,8.67844353684566,0.0222843630748373,0.982246083173626
"blue - green","A - B","1",10.3371671836186,7.18205743377652,178,-3.83576769665594,24.5101020638932,1.4393044442953,0.151820507559416
"blue - yellow","A - B","1",12.5717120726034,5.19794349089904,178,2.3141897279065,22.8292344173003,2.41859344846956,0.0165881625348239
"green - yellow","A - B","1",2.23454488898478,6.54876896245098,178,-10.6886706250377,15.1577604030072,0.341216021178501,0.733343403697321
"blue - green","A - B","2",-6.06654519919604,6.07288354022524,178,-18.0506575158592,5.91756711746717,-0.998956288065262,0.319171925743923
"blue - yellow","A - B","2",-2.12629403986601,4.5962311795975,178,-11.1964088090359,6.94382072930391,-0.462616860810777,0.64420404310869
"green - yellow","A - B","2",3.94025115933003,5.4807903385976,178,-6.87543574900151,14.7559380676616,0.718920249800732,0.473132766932876
"blue - green","A","1 - 2",13.0593145785379,5.49893415008298,178,2.20782301937566,23.9108061377001,2.37488106278574,0.0186183183898335
"blue - yellow","A","1 - 2",4.16072421949941,4.23303406572813,178,-4.1926643063846,12.5141127453834,0.982917726362241,0.326982047250867
"green - yellow","A","1 - 2",-8.89859035903847,5.89114792490994,178,-20.5240690856698,2.72688836759285,-1.51050193824059,0.132688556497705
"blue - green","B","1 - 2",-3.34439780427681,7.1994567511315,178,-17.5516681648935,10.8628725563399,-0.464534744757122,0.642832362428787
"blue - yellow","B","1 - 2",-10.53728189297,3.65816719544119,178,-17.7562391235699,-3.31832466237013,-2.88048121641394,0.00445854208553682
"green - yellow","B","1 - 2",-7.19288408869322,5.82228597164628,178,-18.6824719528059,4.29670377541946,-1.23540549600647,0.218307687997505
"blue - green","A - B","1 - 2",16.4037123828147,9.05927449072837,178,-1.47368676130654,34.2811115269359,1.81070927915949,0.0718720898241423
"blue - yellow","A - B","1 - 2",14.6980061124694,5.59470862792844,178,3.65751502911624,25.7384971958226,2.62712628841793,0.00936208939774913
"green - yellow","A - B","1 - 2",-1.70570627034525,8.28279166759612,178,-18.0508090510109,14.6393965103204,-0.205933740554927,0.837078011443119
