PID,day,source_file,n_rows,n_blocks,n_events,min_block,max_block,duplicate_block_event,non_monotonic_time,invalid_sequence,invalid_is_hit,invalid_target,invalid_pressed,is_complete_960,is_complete_120_blocks,is_complete_modal_rows,is_complete_modal_blocks,modal_expected_rows,modal_expected_blocks
20,2,/home/ck/Code/analyse_data_valentin/data/20/GR_20_Hr _20_20240528_FRA_2_fertig.csv,936,117,936,1,117,0,0,0,0,0,0,False,False,False,False,952,119
21,1,/home/ck/Code/analyse_data_valentin/data/21/GR_21_Fr_21_20250717_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
21,2,/home/ck/Code/analyse_data_valentin/data/21/GR_21_Fr_21_20250718_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
22,1,/home/ck/Code/analyse_data_valentin/data/22/GR_22_Hr_22_20250927_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
22,2,/home/ck/Code/analyse_data_valentin/data/22/GR_22_Hr_22_20250928_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
23,1,/home/ck/Code/analyse_data_valentin/data/23/GR_23_Hr_23_20250617_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
23,2,/home/ck/Code/analyse_data_valentin/data/23/GR_23_Hr_23_20250618_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
24,1,/home/ck/Code/analyse_data_valentin/data/24/GR_24_Fr._24_20250612_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
24,2,/home/ck/Code/analyse_data_valentin/data/24/GR_24_Fr_24_20250613_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
25,1,/home/ck/Code/analyse_data_valentin/data/25/GR_25_Hr_25_20250718_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
