PID,PID2,Group,day,folder_exists,n_candidate_files,selected_file,selected_file_rows,has_both_days
33,33,A,2,True,1,/home/ck/Code/analyse_data_valentin/data/33/GR_33_Hr_33_20250916_FRA_2_fertig.csv,952,True
34,34,A,1,True,1,/home/ck/Code/analyse_data_valentin/data/34/GR_34_Hr_34_20250701_FRA_1_fertig.csv,952,True
34,34,A,2,True,1,/home/ck/Code/analyse_data_valentin/data/34/GR_34_Hr_34_20250702_FRA_2_fertig.csv,952,True
35,35,A,1,True,1,/home/ck/Code/analyse_data_valentin/data/35/GR_35_Hr._35_20250401_FRA_1_fertig.csv,952,True
35,35,A,2,True,1,/home/ck/Code/analyse_data_valentin/data/35/GR_35_Hr_35_20250402_FRA_2_fertig.csv,952,True
36,36,B,1,True,1,/home/ck/Code/analyse_data_valentin/data/36/GR_36_Fr._36_20250612_FRA_1_fertig.csv,952,True
36,36,B,2,True,1,/home/ck/Code/analyse_data_valentin/data/36/GR_36_Fr. _36_20250613_FRA_2_fertig.csv,952,True
37,37,B,1,True,1,/home/ck/Code/analyse_data_valentin/data/37/GR_37_Hr_37_20250319_FRA_1_fertig.csv,952,True
37,37,B,2,True,1,/home/ck/Code/analyse_data_valentin/data/37/GR_37_Hr._37_20250320_FRA_2_fertig.csv,952,True
39,39,A,1,True,1,/home/ck/Code/analyse_data_valentin/data/39/GR_39_Hr_39_20250907_FRA_1_fertig.csv,952,True
39,39,A,2,True,1,/home/ck/Code/analyse_data_valentin/data/39/GR_39_Hr_39_20250908_FRA_2_fertig.csv,952,True
40,40,B,1,True,1,/home/ck/Code/analyse_data_valentin/data/40/GR_40_Hr_40_20250217_FRA_1_fertig.csv,952,True
40,40,B,2,True,1,/home/ck/Code/analyse_data_valentin/data/40/GR_40_Hr_40_20250218_FRA_2_fertig.csv,952,True
41,41,A,1,True,1,/home/ck/Code/analyse_data_valentin/data/41/GR_41_Hr_41_20250827_FRA_1_fertig.csv,952,True
41,41,A,2,True,1,/home/ck/Code/analyse_data_valentin/data/41/GR_41_Hr_41_20250828_FRA_2_fertig.csv,952,True
42,42,B,1,True,1,/home/ck/Code/analyse_data_valentin/data/42/GR_42_Fr._42_20250605_FRA_1_fertig.csv,952,True
42,42,B,2,True,1,/home/ck/Code/analyse_data_valentin/data/42/GR_42_Fr_42_20250606_FRA_2_fertig.csv,952,True
43,43,A,1,True,1,/home/ck/Code/analyse_data_valentin/data/43/GR_43_Hr_43_20251009_FRA_1_fertig.csv,952,True
43,43,A,2,True,1,/home/ck/Code/analyse_data_valentin/data/43/GR_43_Hr_43_20251010_FRA_2_fertig.csv,952,True
