"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",6.04478748451301,3.72897675850882,198,-1.30881985771178,13.3983948267378,1.62103115036047,0.106602355854093
"blue - yellow","A","1",2.95708810772508,2.09601521689645,198,-1.17629053380558,7.09046674925574,1.41081423640789,0.159868611009712
"green - yellow","A","1",-3.08769937678793,3.24119499565376,198,-9.47939255729275,3.30399380371688,-0.952642275743466,0.341932845453821
"blue - green","B","1",1.56006604043951,3.25206044509725,198,-4.8530539962724,7.97318607715141,0.479716188175849,0.631958687565093
"blue - yellow","B","1",-4.3766246247327,3.55622875041966,198,-11.3895698757443,2.63632062627885,-1.23069266121203,0.219897831757041
"green - yellow","B","1",-5.9366906651722,4.98360262444592,198,-15.7644421431705,3.89106081282607,-1.19124479067635,0.234983524004961
"blue - green","A","2",-1.28860099424059,2.85187964665334,198,-6.91255750212663,4.33535551364545,-0.45184269811412,0.651876876324884
"blue - yellow","A","2",0.902665527926855,2.90737431388932,198,-4.83072743367525,6.63605848952896,0.310474479881925,0.75652673518811
"green - yellow","A","2",2.19126652216744,2.49225976814686,198,-2.72351329992645,7.10604634426134,0.879228782719056,0.380343034224681
"blue - green","B","2",4.921984265665,3.20524190187702,198,-1.39880878552979,11.2427773168598,1.5356046177927,0.126231777159942
"blue - yellow","B","2",5.16321203066552,2.22701821239219,198,0.771493192368334,9.55493086896271,2.31844176304214,0.02144625311346
"green - yellow","B","2",0.241227765000526,3.91075287040363,198,-7.47084524693397,7.95330077693502,0.0616832034634878,0.950877335928453
"blue - green","A - B","1",4.48472144407351,4.92633988804073,198,-5.23010691690499,14.199549805052,0.91035566891369,0.363741864322751
"blue - yellow","A - B","1",7.33371273245778,4.11007800581114,198,-0.771432930272406,15.438858395188,1.78432446345029,0.0759022130672826
"green - yellow","A - B","1",2.84899128838427,5.88763168299439,198,-8.76152129354349,14.459503870312,0.483894279021085,0.628995653219058
"blue - green","A - B","2",-6.21058525990559,4.28875405775559,198,-14.668083219941,2.24691270012984,-1.44810944537019,0.149168080135055
"blue - yellow","A - B","2",-4.26054650273867,3.67257040034574,198,-11.5029195208048,2.98182651532743,-1.16009934141428,0.247405291951896
"green - yellow","A - B","2",1.95003875716692,4.63650276628306,198,-7.19322573397968,11.0933032483135,0.420583973625062,0.67451501254816
"blue - green","A","1 - 2",7.3333884787536,4.34497934428593,198,-1.23498672901601,15.9017636865232,1.68778442834204,0.0930271448067407
"blue - yellow","A","1 - 2",2.05442257979822,3.60514211048755,198,-5.05498067216691,9.16382583176336,0.56985897277719,0.569419352932912
"green - yellow","A","1 - 2",-5.27896589895538,3.93452431366994,198,-13.0379166124844,2.47998481457367,-1.34170371768053,0.18122879196569
"blue - green","B","1 - 2",-3.36191822522549,5.07212504558034,198,-13.3642374648812,6.64040101443024,-0.662822425514714,0.508215143988563
"blue - yellow","B","1 - 2",-9.53983665539822,4.70857781048356,198,-18.825234393424,-0.254438917372401,-2.02605479602736,0.0441008403242002
"green - yellow","B","1 - 2",-6.17791843017273,6.28453926047341,198,-18.5711396919748,6.21530283162933,-0.983034423705287,0.326790165574047
"blue - green","A - B","1 - 2",10.6953067039791,6.65422802896042,198,-2.42694727063914,23.8175606785973,1.60729488941935,0.109583171829415
"blue - yellow","A - B","1 - 2",11.5942592351964,5.96490953685908,198,-0.168646625202165,23.3571650955951,1.9437443541351,0.053343543057301
"green - yellow","A - B","1 - 2",0.898952531217351,7.40068972624733,198,-13.695336956986,15.4932420194207,0.12146875013948,0.903442950161363
