"SeqKind","Group","day","emmean","SE","df","n","lower.CL","upper.CL"
"blue","A","1",14.4678289238046,2.41437522302721,198,18,9.70663878593999,19.2290190616692
"green","A","1",8.42304143929158,3.50849977485266,198,18,1.50421856229737,15.3418643162858
"yellow","A","1",11.5107408160795,2.61478426881712,198,18,6.35434053720072,16.6671410949583
"blue","B","1",13.4100936943112,4.67688067439893,198,17,4.18720326264159,22.6329841259808
"green","B","1",11.8500276538717,3.54520332615277,198,17,4.85882473221498,18.8412305755284
"yellow","B","1",17.7867183190439,6.6069134646884,198,17,4.75776949212628,30.8156671459615
"blue","A","2",5.81124659482784,3.31784700622037,198,21,-0.731605690225614,12.3540988798813
"green","A","2",7.09984758906843,2.81982550189942,198,21,1.53910241487421,12.6605927632626
"yellow","A","2",4.90858106690099,2.30549577263702,198,21,0.362103108183056,9.45505902561892
"blue","B","2",8.9595252332286,2.49136107508803,198,16,4.04651764955394,13.8725328169033
"green","B","2",4.0375409675636,3.37699944816856,198,16,-2.62196096686838,10.6970429019956
"yellow","B","2",3.79631320256307,3.37309794509742,198,16,-2.85549489962279,10.4481213047489
