"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",14.4678289238046,2.41437522302721,198,18,9.70663878593999,19.2290190616692
"B","1","blue",13.4100936943112,4.67688067439893,198,17,4.18720326264159,22.6329841259808
"A","2","blue",5.81124659482784,3.31784700622037,198,21,-0.731605690225614,12.3540988798813
"B","2","blue",8.9595252332286,2.49136107508803,198,16,4.04651764955394,13.8725328169033
"A","1","green",8.42304143929158,3.50849977485266,198,18,1.50421856229737,15.3418643162858
"B","1","green",11.8500276538717,3.54520332615277,198,17,4.85882473221498,18.8412305755284
"A","2","green",7.09984758906843,2.81982550189942,198,21,1.53910241487421,12.6605927632626
"B","2","green",4.0375409675636,3.37699944816856,198,16,-2.62196096686838,10.6970429019956
"A","1","yellow",11.5107408160795,2.61478426881712,198,18,6.35434053720072,16.6671410949583
"B","1","yellow",17.7867183190439,6.6069134646884,198,17,4.75776949212628,30.8156671459615
"A","2","yellow",4.90858106690099,2.30549577263702,198,21,0.362103108183056,9.45505902561892
"B","2","yellow",3.79631320256307,3.37309794509742,198,16,-2.85549489962279,10.4481213047489
