"contrast","day","SeqKind","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"A - B","1","blue",1.92864949375157,6.86828381728639,198,-11.6157262366775,15.4730252241806,0.280805153814037,0.779153052103021
"A - B","2","blue",-3.46488145582404,5.76826742551569,198,-14.8400056357749,7.91024272412677,-0.60067975359417,0.548740266427613
"A - B","1","green",-5.81852320872858,6.95455688945916,198,-19.533030945349,7.89598452789182,-0.836649020377929,0.403798493720686
"A - B","2","green",1.54203369154463,5.90069808720769,198,-10.0942460678642,13.1783134509535,0.261330722018747,0.79410910562137
"A - B","1","yellow",-12.1122887585699,8.98987083955913,198,-29.8404711776715,5.61589366053173,-1.3473262268987,0.179414996148784
"A - B","2","yellow",0.154297438051482,6.02932109959196,198,-11.7356291498311,12.0442240259341,0.0255911794218298,0.979609194938084
"A - B","1 - 2","blue",5.39353094957561,8.33097838137802,198,-11.0353040259783,21.8223659251295,0.64740666734073,0.518118688748578
"A - B","1 - 2","green",-7.36055690027321,7.61094004383968,198,-22.3694636894893,7.64834988894292,-0.967102205230333,0.334672723168313
"A - B","1 - 2","yellow",-12.2665861966214,10.8728992275152,198,-33.7081335080342,9.17496111479147,-1.12817988467872,0.260609122557493
