"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",9.56422416414045,4.57196847365937,198,0.548222425967564,18.5802259023133,2.09192697177225,0.0377200404499487
"blue - yellow","A","1",1.93070238920222,3.9367625765304,198,-5.83266221780764,9.69406699621208,0.49042896330919,0.624373421745413
"green - yellow","A","1",-7.63352177493823,5.47466162589701,198,-18.4296501864469,3.16260663657044,-1.39433672737491,0.164778519797896
"blue - green","B","1",1.8170514616603,4.78799601027946,198,-7.62496035442133,11.2590632777419,0.379501456926703,0.704722227012413
"blue - yellow","B","1",-12.1102358631192,4.99336585133396,198,-21.9572405951808,-2.26323113105767,-2.42526508645146,0.0161942884477917
"green - yellow","B","1",-13.9272873247795,5.73195600935958,198,-25.2308047574255,-2.62376989213354,-2.42976172567235,0.016000657249615
"blue - green","A","2",-2.48688888619391,3.61009726076296,198,-9.60606378110747,4.63228600871965,-0.688870328570683,0.491711275656165
"blue - yellow","A","2",0.897326343534385,3.28001668773045,198,-5.57092389226483,7.36557657933359,0.273573712868905,0.784697398817542
"green - yellow","A","2",3.38421522972829,3.25088668696513,198,-3.02659013543233,9.79502059488891,1.04101297756632,0.299138989800143
"blue - green","B","2",2.52002626117476,4.34640682332987,198,-6.05116396021874,11.0912164825683,0.579795303018625,0.56271181531705
"blue - yellow","B","2",4.51650523740991,2.76800630087047,198,-0.942051566667691,9.9750620414875,1.63168170389987,0.104336010494573
"green - yellow","B","2",1.99647897623515,3.96936345802141,198,-5.83117513886786,9.82413309133815,0.502972075333792,0.615542925362484
"blue - green","A - B","1",7.74717270248015,6.59694643797833,198,-5.26212097356312,20.7564663785234,1.17435737508494,0.24166239955362
"blue - yellow","A - B","1",14.0409382523214,6.35031518566488,198,1.51800571642096,26.5638707882219,2.21106163108522,0.0281761106616817
"green - yellow","A - B","1",6.2937655498413,7.878099784525,198,-9.2419849173805,21.8295160170631,0.798893860446421,0.425309212717312
"blue - green","A - B","2",-5.00691514736867,5.64272081906715,198,-16.1344592251199,6.1206289303826,-0.887322855040062,0.37598164956071
"blue - yellow","A - B","2",-3.61917889387552,4.27695636903929,198,-12.0534116055643,4.8150538178133,-0.846204305490374,0.398460303624557
"green - yellow","A - B","2",1.38773625349314,5.1498021916227,198,-8.76776367578656,11.5432361827728,0.269473700514285,0.787845796093455
"blue - green","A","1 - 2",12.0511130503344,5.2441372470554,198,1.70958274296871,22.3926433577,2.29801633378324,0.0226055036144404
"blue - yellow","A","1 - 2",1.03337604566784,4.93914120129074,198,-8.70669672877895,10.7734488201146,0.209221806697445,0.834490188689426
"green - yellow","A","1 - 2",-11.0177370046665,5.87202150687666,198,-22.597466046458,0.561992037124986,-1.87631073758224,0.062083910746022
"blue - green","B","1 - 2",-0.702974799514465,6.74903397204317,198,-14.0121877508946,12.6062381518657,-0.104159321530523,0.917148345353881
"blue - yellow","B","1 - 2",-16.6267411005291,5.62012072454256,198,-27.7097173968771,-5.54376480418113,-2.95843130698628,0.00346878288089264
"green - yellow","B","1 - 2",-15.9237663010147,7.59554427617811,198,-30.9023123673175,-0.945220234711874,-2.09646152033586,0.0373115030784101
"blue - green","A - B","1 - 2",12.7540878498488,8.49626279080116,198,-4.00069086990139,29.508866569599,1.50114093265307,0.13491211085041
"blue - yellow","A - B","1 - 2",17.660117146197,7.50310542287188,198,2.8638621142452,32.4563721781487,2.35370771845525,0.0195671481351055
"green - yellow","A - B","1 - 2",4.90602929634815,9.57738982502017,198,-13.9807508306433,23.7928094233396,0.512251185968388,0.609046138097855
