"day","Group","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"1","A","blue",15.4610493541131,3.92187891526225,198,18,7.72703558725819,23.1950631209679
"2","A","blue",5.15173217778416,4.50531088686661,198,21,-3.73281963420302,14.0362839897713
"1","B","blue",13.5323998603615,5.55165673975753,198,17,2.58443573861187,24.4803639821111
"2","B","blue",8.6166136336082,3.57395431928004,198,16,1.56871325099938,15.664514016217
"1","A","green",5.89682518997261,5.39087888775796,198,18,-4.73408219758487,16.5277325775301
"2","A","green",7.63862106397806,3.71145288197127,198,21,0.319571112564759,14.9576710153914
"1","B","green",11.7153483987012,4.46838790350115,198,17,2.90360935524456,20.5270874421578
"2","B","green",6.09658737243344,4.62839113460513,198,16,-3.03068083927052,15.2238555841374
"1","A","yellow",13.5303469649108,4.21948447477793,198,18,5.20944983318979,21.8512440966319
"2","A","yellow",4.25440583424977,4.18131206264114,198,21,-3.99121463356636,12.5000263020659
"1","B","yellow",25.6426357234807,7.77863630629526,198,17,10.3030289737344,40.9822424732271
"2","B","yellow",4.10010839619829,3.9698261713473,198,16,-3.72845819767059,11.9286749900672
