"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",13625.0892022982,885.645520975506,200,18,11878.6881440084,15371.4902605881
"B","1","blue",13709.2379146538,792.28142869934,200,17,12146.9411573463,15271.5346719613
"A","2","blue",12063.310054795,777.788199427348,200,21,10529.5924415572,13597.0276680328
"B","2","blue",12459.50043074,791.151177941595,200,16,10899.4324106335,14019.5684508466
"A","1","green",13462.9495125836,826.375724017857,200,18,11833.42234309,15092.4766820771
"B","1","green",13680.47019373,775.654211364977,200,17,12150.9605834937,15209.9798039663
"A","2","green",12459.4330960196,814.71868418821,200,21,10852.8923993449,14065.9737926943
"B","2","green",12308.0346132371,752.111577855235,200,16,10824.948633113,13791.1205933612
"A","1","yellow",14052.8738999106,909.865075595176,200,18,12258.7143933281,15847.0334064931
"B","1","yellow",13949.4406980753,804.401268158485,200,17,12363.2448751072,15535.6365210433
"A","2","yellow",12829.8164429881,833.245740094103,200,21,11186.7423147375,14472.8905712387
"B","2","yellow",12640.991331333,802.893100011839,200,16,11057.7694594379,14224.213203228
